protein,l2FC,Q1,Q3,p,padj
AL954137.2,-0.919186395188099,-1.5595793323716123,-0.7860783872590389,0.007936507936507936,0.034027966263558404
AL954372.1,0.11981834003176672,0.03168467946379039,0.14954806689086908,0.05555555555555555,0.1246639413692778
AL954696.1,-0.02324951978386025,-0.06369184923106985,0.1641690737574102,0.8412698412698413,0.8830072597514458
ALAD,-0.016742436511641756,-0.018816143352310633,0.14486460991464867,0.5476190476190477,0.6446497917546431
ALAS1,-0.8560717706068885,-1.1727843312139683,0.08121696939566192,0.5476190476190477,0.6446497917546431
ALAS2,-1.0129908969313899,-1.6428135051278083,-0.03524593568118917,0.2222222222222222,0.32486384030327026
ALDH16A1,-0.004241460555512333,-0.11005041352342104,0.09411829050236165,1,1
ALDH18A1,0.05418834080253987,-0.09571402269538964,0.10745429358070169,1,1
ALDH1A2,-0.04797163658118109,-0.5673622315670102,0.0933332363243018,0.5476190476190477,0.6446497917546431
ALDH1L2,-0.13627382051829784,-0.6394109774993204,0.30778493895494563,0.6904761904761905,0.7649359858490934
ALDH2,0.7010287017441605,0.48556631556006025,0.7531603460122298,0.007936507936507936,0.034027966263558404
ALDH3A2B,0.13673672727378872,-0.08968947491439039,0.3980984113748427,0.5476190476190477,0.6446497917546431
ALDH4A1,0.17084049780151034,-0.4634810543393577,0.7904195789119122,0.5476190476190477,0.6446497917546431
ALDH5A1,0.11003878079069196,0.04811123657871974,0.4107310153293824,0.15079365079365079,0.24347078842666725
ALDH6A1,0.1864268648260996,-0.18639849476271664,0.493307457026269,0.6904761904761905,0.7649359858490934
ALDH7A1,0.2830697165730811,0.21211671034622626,0.42869156306620937,0.007936507936507936,0.034027966263558404
ALDH8A1,0.5360556624185193,0.1285932997432795,1.1888238409074283,0.15079365079365079,0.24347078842666725
ALDH9A1,0.4232800955598286,0.32208216773573994,0.476319430671829,0.007936507936507936,0.034027966263558404
ALDH9A1B,0.4971075734146311,0.3552208929823202,0.6284180155174326,0.015873015873015872,0.051195958770994504
ALDOAA,-0.12615076787457724,-0.6607357182350491,0.380494637411843,0.5476190476190477,0.6446497917546431
ALDOB,-1.209133726340042,-1.4085239093177506,-0.3126976610663519,0.15079365079365079,0.24347078842666725
ALDOCB,0.294058944758941,-0.03343873277414389,0.3257166233844444,0.42063492063492064,0.5304952333640859
ALG1,0.9365163414083817,0.47124709790037045,1.0609717716289815,0.05555555555555555,0.1246639413692778
ALG11,0.5561519380516096,0.46915330810238487,0.7251156349828598,0.007936507936507936,0.034027966263558404
ALG12,0.45852987105165965,0.0855038681324416,0.5306304169986191,0.09523809523809523,0.18343155185260446
ALG2,1.2168834352242754,0.8934221645976521,1.2831543197481459,0.007936507936507936,0.034027966263558404
ALG5,0.5595112045670483,0.361112200167959,0.7861441386644898,0.015873015873015872,0.051195958770994504
ALG9,-0.1868576731083813,-0.2080555921492362,0.25359978766782376,0.8412698412698413,0.8830072597514458
ALKBH5,-0.5941987398726987,-0.7383960541570023,-0.3139317219087605,0.015873015873015872,0.051195958770994504
ALKBH7,-0.0402892473793095,-0.282221723070462,0.01908143134067153,0.5476190476190477,0.6446497917546431
ALKBH8,0.24314683500834988,0.04316338177951984,0.9566203566276297,0.2222222222222222,0.32486384030327026
